patentNumber,applicationNum,familyID,applicationDate,granted,grantDate,cpcClass,publicationItems,publicationDate,priorityNumber,language,ipc,title,abstract
EP3710304,EP18799758,64184100,"Wed, 07 Nov 2018",1,"Wed, 05 Jan 2022","['B60L 3/0046', 'B60L 3/04', 'B60L 53/11', 'B60L 53/22', 'H02J 7/0031', 'H02J 7/345']","['EP 3710304 A1', 'EP 3710304 B1']","Wed, 23 Sep 2020",DE/102017220287,de,"['B60L 3/00', 'B60L 3/04', 'H02J 7/00']",KRAFTFAHRZEUG MIT EINEM ENERGIESPEICHER SOWIE VERFAHREN ZUM BETREIBEN EINES KRAFTFAHRZEUGS,
EP3710289,EP18799692,66335878,"Tue, 30 Oct 2018",1,"Wed, 21 Sep 2022","['B60G 3/06', 'B60K 7/0007', 'B62D 21/10']","['EP 3710289 A1', 'EP 3710289 B1']","Wed, 23 Sep 2020",DE/102017220312,de,"['B60G 3/06', 'B60K 7/00', 'B62D 21/10']",EINZELRADANTRIEBSEINRICHTUNG FÜR EIN KRAFTFAHRZEUG SOWIE ENTSPRECHENDES KRAFTFAHRZEUG,
EP3492329,EP18207175,64426659,"Tue, 20 Nov 2018",0,,B60W 30/16,EP 3492329 A1,"Wed, 05 Jun 2019",DE/102017221740,de,B60W 30/16,MOTOR VEHICLE AND METHOD FOR OPERATING A CORRESPONDING MOTOR VEHICLE,"Die Erfindung betrifft ein Verfahren zum Betreiben eines Kraftfahrzeugs, das eine Antriebseinrichtung zum Bereitstellen eines Antriebsdrehmoments sowie eine Erfassungseinrichtung zum Erfassen wenigstens eines vorausfahrenden weiteren Kraftfahrzeugs aufweist, wobei eine automatische Längsführung des Kraftfahrzeugs durchgeführt wird. Dabei ist vorgesehen, dass im Rahmen der Längsführung ein Abstand des Kraftfahrzeugs von dem weiteren Kraftfahrzeug auf einen Sollabstand eingeregelt wird, wobei der Sollabstand bei konstantem Abstand einem Vorgabeabstand entspricht und ausgehend von dem Vorgabeabstand bei einer aus einer positiven Beschleunigung des weiteren Kraftfahrzeugs resultierenden Abstandsänderung vergrößert und bei einer aus einer negativen Beschleunigung des weiteren Kraftfahrzeugs resultierenden Abstandsänderung verkleinert wird. Die Erfindung betrifft weiterhin ein Kraftfahrzeug.
"
EP3703880,EP18800063,64267774,"Wed, 31 Oct 2018",0,,"['B21D 22/04', 'B21D 31/02', 'B21D 39/026', 'B21D 39/028', 'B21D 53/88', 'B62D 27/02', 'F16B 11/006', 'F16B 17/008', 'F16B 5/07']",EP 3703880 A1,"Wed, 09 Sep 2020",DE/102017219534,de,"['B21D 22/04', 'B21D 39/02', 'B21D 53/88']","METHOD FOR PRODUCING AN OVERLAPPING CONNECTION, AND BODY COMPONENT FOR A VEHICLE",
EP3727912,EP18800574,64270852,"Tue, 06 Nov 2018",0,,"['B60H 1/3223', 'B60H 1/3229', 'B60K 1/00']",EP 3727912 A1,"Wed, 28 Oct 2020",DE/102017223425,de,"['B60H 1/32', 'B60K 1/00', 'F02B 67/04']",DEVICE FOR MOUNTING AN AIR-CONDITIONING COMPRESSOR,
EP3717209,EP18800561,64270844,"Mon, 05 Nov 2018",0,,C09J 5/06,EP 3717209 A1,"Wed, 07 Oct 2020",DE/102017221538,de,"['B29C 65/48', 'B29C 65/76']",LIAISON PAR COLLAGE AMOVIBLE ET PROCÉDÉ SERVANT À DÉFAIRE LA LIAISON PAR COLLAGE,
EP3503356,EP18207736,64453336,"Thu, 22 Nov 2018",1,"Wed, 07 Oct 2020","['H02K 1/32', 'H02K 5/203', 'H02K 9/19', 'H02K 9/197']","['EP 3503356 A1', 'EP 3503356 B1']","Wed, 26 Jun 2019",DE/102017223490,de,"['H02K 1/32', 'H02K 5/20', 'H02K 9/197']",COOLANT DISTRIBUTOR FOR A MACHINE ASSEMBLY AND CORRESPONDING MACHINE ASSEMBLY,"Die Erfindung betrifft einen Kühlmittelverteiler (12) für eine Maschinenanordnung (1). Dabei ist vorgesehen, dass in einem Verteilerkörper (17) des Kühlmittelverteilers (12) wenigstens eine Kühlmittelvorlaufeinlassöffnung (20) und wenigstens eine Kühlmittelrücklaufauslassöffnung (23) sowie mehrere Kühlmittelvorlaufauslassöffnungen (21) und mehrere Kühlmittelrücklaufeinlassöffnungen (22) ausgebildet sind, wobei die Kühlmittelvorlaufeinlassöffnung (20) über eine in dem Verteilerkörper (17) vorliegende Vorlaufkammer (28) an die Kühlmittelvorlaufauslassöffnungen (21) und die Kühlmittelrücklaufeinlassöffnungen (22) über eine Rücklaufkammer (29) an die Kühlmittelrücklaufauslassöffnung (23) strömungstechnisch angeschlossen sind und die Kühlmittelvorlaufeinlassöffnung (20) innerhalb des Verteilerkörpers (17) strömungstechnisch von der Kühlmittelrücklaufauslassöffnung (23) strömungstechnisch separiert ist, und wobei der Verteilerkörper (17) aus zwei Gleichteilen (24,25) zusammengesetzt ist, die die Vorlaufkammer (28) und die Rücklaufkammer (29) zwischen sich ausbilden. Die Erfindung betrifft weiterhin eine Maschinenanordnung (1).
"
EP3717287,EP18803582,64316495,"Tue, 06 Nov 2018",1,"Wed, 04 Aug 2021","['B60G 11/18', 'B60G 11/183', 'B60G 11/20', 'B60G 11/32', 'B60G 11/44', 'B60G 17/0157', 'B60G 17/023', 'B60G 17/025', 'B60G 17/033', 'B60G 21/0551', 'B60G 21/0553']","['EP 3717287 A1', 'EP 3717287 B1']","Wed, 07 Oct 2020",DE/102017221588,de,"['B60G 11/18', 'B60G 11/20', 'B60G 11/44', 'B60G 21/055']",DREHFEDERANORDNUNG FÜR EINE RADAUFHÄNGUNG EINES KRAFTFAHRZEUGS SOWIE RADAUFHÄNGUNG FÜR EIN RAD EINER ACHSE EINES KRAFTFAHRZEUGS,
EP3527426,EP18208533,64500232,"Tue, 27 Nov 2018",1,"Wed, 30 Sep 2020","['B60Q 1/2607', 'B60Q 1/2661', 'B60Q 1/302', 'B60Q 1/503', 'B60Q 1/52', 'F21S 43/14', 'F21S 43/19', 'F21S 43/239', 'F21S 43/245', 'F21S 43/26']","['EP 3527426 A1', 'EP 3527426 B1']","Wed, 21 Aug 2019",DE/102018202384,de,"['B60Q 1/26', 'B60Q 1/30', 'B60Q 1/50', 'B60Q 1/52', 'F21S 43/14', 'F21S 43/19', 'F21S 43/20', 'F21S 43/239', 'F21S 43/245']",ANZEIGEVORRICHTUNG FÜR EIN KRAFTFAHRZEUG SOWIE KRAFTFAHRZEUG MIT EINER ANZEIGEVORRICHTUNG,"Die Erfindung betrifft eine Anzeigevorrichtung (2) für ein Kraftfahrzeug (1), die ein Fahrzeuganbauteil, in welchem eine Anzeigeeinrichtung (4) angeordnet ist, umfasst. Die Anzeigeeinrichtung (4) weist eine hinterleuchtbare Anzeigefläche (5) zum Projizieren eines Abbilds auf eine Außenseite (9) einer Fahrzeugscheibe (22) des Kraftfahrzeugs (1) auf. Die Anzeigefläche (5) selbst ist, wenn das Fahrzeuganbauteil in seiner bestimmungsgemäßen Anbaulage am Kraftfahrzeug (1) angelagert ist, zumindest aus einer vorgegebenen Betrachtungsposition (10), welche außerhalb des Kraftfahrzeugs (1) ist, verdeckt. In der bestimmungsgemäßen Anbaulage trifft das durch die Anzeigefläche (5) hindurchtretende Licht jedoch derart auf die Außenseite (9) der Fahrzeugscheibe (22) und wird von dieser reflektiert, dass das Abbild aus der vorgegebenen Betrachtungsposition (10) sichtbar ist.
"
EP3499345,EP18208878,50241363,"Thu, 06 Mar 2014",0,,"['G01C 21/3611', 'G06F 3/0236', 'G06F 3/0237', 'G06F 3/0482']",EP 3499345 A1,"Wed, 19 Jun 2019",DE/102013004244,de,"['G01C 21/36', 'G06F 3/023', 'G06F 3/0482']",DEVICE ASSIGNED TO A VEHICLE WITH LETTERING DEVICE - DELETE BUTTON AND/OR LIST SELECTION BUTTON,"Die vorliegende Erfindung betrifft eine einem Fahrzeug zugeordnete Vorrichtung, nicht umfassend eine Navigationsvorrichtung, mit einer Bedieneinrichtung, mit der wenigstens alphanumerische Zeichen und/oder Symbole auswählbar und zu einer Zeichen- oder Funktionsgruppe zusammenstellbar sind, und mit einer Anzeigevorrichtung, mit der mittels einer Anzeigeeinrichtung 1 auswählbare Zeichen und/oder Symbole in wenigstens einem Auswahlfeld 2, und ausgewählte Zeichen, Symbole, Zeichen- oder Funktionsgruppen in wenigstens einem Eingabefeld 3 anzeigbar sind, wobei die Vorrichtung dazu eingerichtet ist, auf der Anzeigeeinrichtung (a) unmittelbar benachbart zu einem mittels der Bedieneinrichtung angewählten, in einem Auswahlfeld 2 angezeigten Zeichen oder Symbol eine Löschschaltfläche 4 anzuzeigen, die mittels der Bedieneinrichtung zum Löschen von wenigstens dem zuletzt ausgewählten, in einem Eingabefeld 3 angezeigten Zeichen oder Symbol betätigbar ist, und/oder (b) unmittelbar benachbart zu einem mittels der Bedieneinrichtung angewählten, in einem Auswahlfeld 2 angezeigten Zeichen oder Symbol eine Listenauswahl-Schaltfläche 5 anzuzeigen, die mittels der Bedieneinrichtung zum Aufrufen einer Auswahlliste aufrufbar ist.
"
EP3714507,EP18804523,64362484,"Wed, 31 Oct 2018",1,"Wed, 18 May 2022","['F16B 11/006', 'H01M 10/613', 'H01M 10/625', 'H01M 10/6556', 'H01M 10/6568', 'H01M 50/271']","['EP 3714507 A1', 'EP 3714507 B1']","Wed, 30 Sep 2020",DE/102017220862,de,"['H01M 10/6556', 'H01M 10/6568', 'H01M 50/271']",METHOD FOR PRODUCING A COOLING SYSTEM,
EP3649692,EP18804521,64362482,"Wed, 31 Oct 2018",1,"Wed, 24 Feb 2021","['H01M 8/04089', 'H01M 8/04201', 'H01M 8/04313', 'H01M 8/04664']","['EP 3649692 A1', 'EP 3649692 B1']","Wed, 13 May 2020",DE/102017221741,de,"['G01M 3/02', 'H01M 8/04082', 'H01M 8/04089', 'H01M 8/04313', 'H01M 8/04664']",BRENNSTOFFZELLENSYSTEM MIT INTEGRIERTEN GASANSCHLÜSSEN ZUM ANSCHLUSS AN EINE EXTERNE PRÜFGASVERSORGUNG,
EP3710949,EP18804254,64332276,"Fri, 09 Nov 2018",0,,G06F 15/7803,EP 3710949 A1,"Wed, 23 Sep 2020",DE/102017220464,de,G06F 15/78,ARCHITECTURE DE MACHINE MODULAIRE D'UN SYSTÈME DE COCKPIT ET D'INFODIVERTISSEMENT POUR UN VÉHICULE,
EP3498551,EP18209207,64564577,"Thu, 29 Nov 2018",1,"Wed, 24 Jun 2020","['B60T 13/586', 'B60T 13/662']","['EP 3498551 A1', 'EP 3498551 B1']","Wed, 24 Jun 2020",DE/102017223064,de,"['B60T 13/58', 'B60T 13/66']",METHOD FOR CONTROLLING A BRAKING SYSTEM FOR ADJUSTING A TOTAL BRAKE POWER DISTRIBUTION BETWEEN A FIRST AND A SECOND AXLE OF A MOTOR VEHICLE AND BRAKE SYSTEM FOR CARRYING OUT THE METHOD,
EP3659847,EP18209436,64564630,"Fri, 30 Nov 2018",1,"Wed, 07 Oct 2020",B60K 35/00,"['EP 3659847 A1', 'EP 3659847 B1']","Wed, 03 Jun 2020",,en,B60K 35/00,"ANZEIGEVORRICHTUNG FÜR EIN KRAFTFAHRZEUG, VERFAHREN ZUM STEUERN EINER ANZEIGE EINES KRAFTFAHRZEUGS, STEUERMODUL UND KRAFTFAHRZEUG","The invention relates to a display device (20), comprising a display screen unit (22) that comprises a display surface comprising several predetermined subareas (24, 26, 28), a sight protection element (30) that is configured to set for each of the subareas (24, 26, 28) a respective degree of a transparency, a back lighting module (34) comprising at least one illumination element (50) that is directed to the display screen unit (22), and a control module (36) that is configured to provide the display screen unit (22) in a display mode, in which the sight protection element (30) sets a degree of transparency for each of the subareas (24, 26, 28, S1). The control module (36) may be configured to provide a back light by controlling a back lighting module (34), preferably depending on a movement of the display screen unit (22) from a stowed position to a deployed position (S1).

"
EP3659855,EP18209437,64564631,"Fri, 30 Nov 2018",1,"Wed, 09 Jun 2021",B60N 2/0228,"['EP 3659855 A1', 'EP 3659855 B1']","Wed, 03 Jun 2020",,en,B60N 2/02,FAHRZEUG MIT FAHRZEUGSITZ UND SENSOREINHEIT,"The invention is concerned with a vehicle (10) comprising a vehicle seat (11), a foot resting space (12) corresponding to the vehicle seat (11), an electronic control unit (17), an electronic user interface (15) of an infotainment system (13) and/or of a comfort functionality (14) of the vehicle (10) and a sensing unit (16), wherein the sensing unit (16) is designed to receive a user input and send a user input signal (18) to the electronic user interface (15). The invention is characterized in that the sensing unit (16) is designed to sense a position (44) and/or a predefined gesture (45) of a foot (42) as the user input, while the foot (42) lies in the foot resting space (12), and to determine the user input signal (18) in dependence on the sensed position (42) and/or gesture (43).
"
EP3660803,EP18209449,64564636,"Fri, 30 Nov 2018",1,"Wed, 22 Sep 2021","['G08C 17/02', 'G08C 23/04']","['EP 3660803 A1', 'EP 3660803 B1']","Wed, 03 Jun 2020",,en,"['G08C 17/02', 'G08C 23/04']",CUSHIONED REMOTE CONTROL UNIT FOR A VEHICLE AND SYSTEM COMPRISING BOTH THE CONTROL UNIT AND THE VEHICLE,"The invention is concerned with a cushioned remote control unit (12) for a vehicle (11), the remote control unit (12) comprising an electronic circuit (13) for generating at least one remote control signal (16), wherein the electronic circuit (13) is integrated into a carrier body (14) that comprises a cushion material (15) that covers at least a part of the electronic circuit (13). The invention is characterized in that the electronic circuit (13) comprises a sensor unit (S) that is designed to sense and signal an acceleration and/or spatial orientation of the remote control unit (12), wherein the electronic circuit (13) is designed to trigger at least one of the at least one remote control signal (16) in dependence on a sensor signal (34) of the sensor unit (S).
"
EP3679509,EP18807047,64402205,"Mon, 19 Nov 2018",1,"Wed, 06 Jan 2021","['G06F 21/629', 'G06F 21/71', 'G06F 21/85']","['EP 3679509 A1', 'EP 3679509 B1']","Wed, 15 Jul 2020",DE/102017220764,de,G06F 21/71,EIN-CHIP-SYSTEM FÜR EIN FAHRZEUG,
EP3720733,EP18810981,64500385,"Mon, 26 Nov 2018",0,,"['B60L 50/16', 'B60L 58/13', 'B60L 58/14', 'B60L 58/15', 'B60L 58/20']",EP 3720733 A1,"Wed, 14 Oct 2020",DE/102017221825,de,"['B60L 50/16', 'B60L 58/13', 'B60L 58/14', 'B60L 58/15', 'B60L 58/20']","METHOD FOR CONTROLLING AN ELECTRICAL SYSTEM OF AN ELECTRICALLY DRIVABLE MOTOR VEHICLE HAVING A PLURALITY OF BATTERIES, AND ELECTRICAL SYSTEM OF AN ELECTRICALLY DRIVABLE MOTOR VEHICLE",
EP3717981,EP18811240,64556912,"Wed, 28 Nov 2018",0,,"['G05D 1/0221', 'G06N 3/08']",EP 3717981 A1,"Wed, 07 Oct 2020",US/201715827982,en,"['B60W 30/00', 'G05D 1/02']",SYSTEME UND VERFAHREN ZUM TRAINIEREN UND STEUERN EINES KÜNSTLICHEN NEURONALEN NETZES MIT DISKRETEN FAHRZEUGSTEUERUNGSBEFEHLEN,
EP3718096,EP18811239,64556911,"Wed, 28 Nov 2018",0,,"['G08G 1/0112', 'G08G 1/0129', 'G08G 1/0133', 'G08G 1/0145']",EP 3718096 A1,"Wed, 07 Oct 2020",US/201715827854,en,G08G 1/01,SYSTEM AND METHOD FOR PREDICTING AND MAXIMIZING TRAFFIC FLOW,
EP3505415,EP18211537,64664643,"Tue, 11 Dec 2018",1,"Wed, 14 Jul 2021","['B60G 17/00', 'B60W 30/025', 'B60W 50/0098', 'B62D 6/00', 'G08C 15/00', 'H04L 12/40189']","['EP 3505415 A1', 'EP 3505415 B1']","Wed, 03 Jul 2019",DE/102017223331,de,"['B60W 30/00', 'B60W 50/00', 'G08C 15/00', 'H04L 12/40']",COMMANDE D'UN COMPOSANT DE CHÂSSIS D'UN VÉHICULE,"Die Erfindung betrifft ein Verfahren zum Steuern einer Fahrwerkkomponente eines Fahrzeugs, bei dem ein Steuergerät der Fahrwerkkomponente fortlaufend entsprechend einer Erzeugungstaktfrequenz mehrere jeweils einen Steuerwert umfassende Steueranforderungen für einen Aktuator der Fahrwerkkomponente erzeugt, ein Bussystem des Fahrzeugs von dem Steuergerät erzeugte Steueranforderungen fortlaufend entsprechend einer Übertragungstaktfrequenz zu dem Aktuator überträgt und der Aktuator aus dem Steuerwert jeder übertragenen Steueranforderung und einem Ist-Stellwert der Fahrwerkkomponente einen Soll-Stellwert für die Fahrwerkkomponente berechnet und die Fahrwerkkomponente entsprechend dem berechneten Soll-Stellwert verstellt.
"
EP3522102,EP18211628,64664688,"Tue, 11 Dec 2018",0,,G06Q 50/30,EP 3522102 A1,"Wed, 07 Aug 2019",DE/102018201687,de,G06Q 50/30,METHOD FOR OPERATING A TRANSPORT SYSTEM COMPRISING AT LEAST ONE MEANS OF TRANSPORT AND CORRESPONDING TRANSPORT SYSTEM,"Die Erfindung betrifft ein Verfahren zum Betreiben eines wenigstens ein Transportmittel (2) aufweisenden Transportsystems (1). Dabei ist vorgesehen, dass ein Benutzungszeitraum des Transportmittels (2) durch einen Benutzer oder zumindest ein Beginn des Benutzungszeitraums erfasst wird, indem auf eine Benutzung des Transportmittels (2) erkannt wird, falls wenigstens zwei der nachfolgenden Bedingungen erfüllt sind: Eine Kommunikationsverbindung einer Assistenzeinrichtung des Benutzers mit dem Transportsystem (1) liegt vor oder wird aufgebaut; eine Zuladung des Transportmittels (2) oder eine Änderung der Zuladung wird erkannt; und eine Bewegung des Transportmittels (2) und/oder ein Betrieb einer Antriebseinrichtung des Transportmittels (2) liegen vor oder werden eingeleitet. Die Erfindung betrifft weiterhin ein Transportsystem (1).
"
EP3530534,EP18211629,64664689,"Tue, 11 Dec 2018",0,,"['B60L 58/13', 'B60W 10/08', 'B60W 10/22', 'B60W 10/26', 'B60W 20/15']",EP 3530534 A1,"Wed, 28 Aug 2019",DE/102018202854,de,"['B60L 58/13', 'B60W 10/08', 'B60W 10/22', 'B60W 10/26', 'B60W 10/30', 'B60W 20/15']",METHOD FOR OPERATING AN ON-BOARD POWER SUPPLY NETWORK OF A HYBRID MOTOR VEHICLE AND HYBRID MOTOR VEHICLE,"Verfahren zum Betrieb eines Bordnetzes (6) eines Hybridkraftfahrzeugs (1), wobei an das Bordnetz (6) ein Energiespeicher (7), insbesondere eine Batterie, ein Elektromotor (4) eines Hybrid-Antriebsstrangs (2), der auch einen Verbrennungsmotor (3) aufweist, und generatorisch betreibbare Aktoren (9) eines elektromechanischen Fahrwerksystems angeschlossen sind, wobei zur Einspeisung von durch wenigstens einen Teil der Aktoren (9) erzeugter elektrischer Energie in das Bordnetz (6) wenigstens eine Reservekapazität (20) des Energiespeichers (7) freigehalten wird, wobei die freizuhaltende Reservekapazität (20) in Abhängigkeit wenigstens einer den Fahrstil des Fahrers des Hybridkraftfahrzeuges beschreibenden Fahrstilinformation und/oder wenigstens einer den aktuellen und/oder zukünftigen Betrieb des Hybridkraftfahrzeugs (1) beschreibenden Situationsinformation dynamisch angepasst wird.
"
EP3521093,EP18211633,64900740,"Tue, 11 Dec 2018",0,,"['B60L 15/2009', 'B60L 3/0015', 'B60L 3/0076', 'B60L 3/0092', 'B60L 3/08', 'B60L 3/108', 'B60L 50/10', 'B60L 50/60', 'B60L 50/61', 'B60L 7/10', 'B60L 7/18', 'B60L 7/24', 'B60L 7/28']",EP 3521093 A1,"Wed, 07 Aug 2019",DE/102018201689,de,"['B60L 15/20', 'B60L 3/00', 'B60L 3/08', 'B60L 3/10', 'B60L 50/10', 'B60L 50/60', 'B60L 50/61', 'B60L 7/10', 'B60L 7/18', 'B60L 7/24', 'B60L 7/28']",METHOD FOR OPERATING A BRAKE SYSTEM FOR A MOTOR VEHICLE AND CORRESPONDING BRAKE SYSTEM,"Die Erfindung betrifft ein Verfahren zum Betreiben einer Bremsanlage (1) für ein Kraftfahrzeug, wobei die Bremsanlage (1) eine mit wenigstens einem Rad des Kraftfahrzeugs mechanisch gekoppelte Wirbelstrombremse (3) zum Bereitstellen einer auf das Rad wirkenden Bremskraft aufweist, wobei eine elektrische Maschine (2) mechanisch mit dem Rad gekoppelt oder koppelbar und elektrisch an die Wirbelstrombremse (3) angeschlossen ist. Dabei ist vorgesehen, dass die Wirbelstrombremse (3) in einer Notbremsbetriebsart zum Bremsen des Rads parallel mit mittels der als Generator betriebenen elektrischen Maschine (2) bereitgestellter Energie und mit einem Energiespeicher (8) entnommener elektrischer Energie beaufschlagt wird. Die Erfindung betrifft weiterhin eine Bremsanlage (1) für ein Kraftfahrzeug.
"
EP3517377,EP18211928,64755117,"Wed, 12 Dec 2018",1,"Wed, 11 May 2022","['B60L 15/2009', 'B60L 3/0076', 'B60L 7/18', 'B60T 8/3215', 'B60W 10/196', 'B60W 30/18127']","['EP 3517377 A2', 'EP 3517377 A3', 'EP 3517377 B1']","Wed, 14 Aug 2019",DE/102018201036,de,"['B60T 8/32', 'B60W 10/196', 'B60W 30/18']",MOTOR VEHICLE AND METHOD FOR OPERATING A MOTOR VEHICLE,"Es wird ein Verfahren zum Betrieb eines Kraftfahrzeuges (2) sowie ein Kraftfahrzeug (2) angegeben, welches eine elektrische Maschine (12), zur positiven oder negativen Beschleunigung des Kraftfahrzeuges (2) sowie eine mechanische Bremsvorrichtung (16) zur Reduzierung der Geschwindigkeit des Kraftfahrzeuges (2) aufweist. In einem speziellen Brems-Betriebsmodus wird eine Verzögerungsanforderung (V) erfasst und in Abhängigkeit der Verzögerungsanforderung (V) ein Solldrehzahlverlauf (nsoll) der elektrischen Maschine (12) ermittelt. Eine Istdrehzahl (nist) der elektrischen Maschine (12) wird anschließend zur Reduzierung der Geschwindigkeit des Kraftfahrzeuges (2) an den ermittelten Solldrehzahlverlauf (nsoll) angepasst.
"
EP3717758,EP18811753,66442514,"Thu, 22 Nov 2018",0,,"['F01P 7/165', 'F02B 29/04']",EP 3717758 A1,"Wed, 07 Oct 2020",DE/102017221471,de,"['F01P 7/16', 'F02B 29/04']",ANTRIEBSEINRICHTUNG FÜR EIN KRAFTFAHRZEUG SOWIE VERFAHREN ZUM BETREIBEN EINER ANTRIEBSEINRICHTUNG,
EP3724529,EP18812104,63678814,"Mon, 26 Nov 2018",1,"Wed, 18 Aug 2021",F16D 23/06,"['EP 3724529 A1', 'EP 3724529 B1']","Wed, 21 Oct 2020",DE/102017222346,de,F16D 23/06,EMBRAYAGE DE CHANGEMENT DE VITESSES POUR BOÎTE DE VITESSES DE VÉHICULE,
EP3619406,EP18812161,64572375,"Mon, 03 Dec 2018",1,"Wed, 05 Aug 2020","['B01D 53/0415', 'C01B 21/48', 'F01N 3/0842', 'F01N 3/0871']","['EP 3619406 A1', 'EP 3619406 B1']","Wed, 11 Mar 2020",DE/102018000378,de,F01N 3/08,UTILIZATION OF POLLUTANTS FROM INTERNAL COMBUSTION ENGINES,
EP3717799,EP18814542,64604634,"Fri, 30 Nov 2018",1,"Wed, 12 Jan 2022","['F16H 55/0886', 'G01B 11/2416', 'G01B 11/30']","['EP 3717799 A1', 'EP 3717799 B1']","Wed, 07 Oct 2020",DE/102017221736,de,F16H 55/08,ASSEMBLY AND METHOD FOR ACOUSTICALLY INFLUENCING TOOTHED WHEELS,
EP3670228,EP18212972,64744395,"Mon, 17 Dec 2018",1,"Wed, 13 Apr 2022",B60K 35/00,"['EP 3670228 A1', 'EP 3670228 B1']","Wed, 24 Jun 2020",,en,B60K 35/00,A DISPLAY DEVICE AND A VEHICLE COMPRISING THE DISPLAY DEVICE,"The invention is concerned with a display device (10) comprising a display panel (11) with a first panel side (13) and a second panel side (14). The display panel (11) is designed to display at least one graphic display object (15). The display panel (11) comprises a pixel layer (20). The display device (10) comprises a control circuitry (53) and a sensor unit (55) which is designed to identify a presence of at least one person (16) at a predefined threshold distance from the display device (10) and to identify if the at least one person (16) is on the first panel side (13) or the second panel side (14). The control circuitry is adapted to enable the displaying of the graphic display object (15) in accordance with a predefined display alignment in one of a first orientation (T1) and a second orientation (T2) based on a physical environment condition.
"
EP3625950,EP18814863,64606993,"Tue, 04 Dec 2018",1,"Wed, 09 Sep 2020","['G06F 21/44', 'G06F 21/57', 'H04L 63/0227', 'H04L 63/1425', 'H04W 12/03', 'H04W 12/121', 'H04W 4/40']","['EP 3625950 A1', 'EP 3625950 B1']","Wed, 25 Mar 2020",DE/102017221889,de,http://data.epo.org/linked-data/def/ipc/H04L29-06,"DATA-PROCESSING DEVICE, COMPLETE ENTITY, AND METHOD FOR OPERATING A DATA-PROCESSING DEVICE OR COMPLETE ENTITY",
EP3720725,EP18814798,64606942,"Thu, 22 Nov 2018",1,"Wed, 09 Nov 2022","['B60G 11/24', 'B60G 15/063', 'B60G 15/066', 'B60G 17/01941', 'F16F 1/374', 'F16F 3/093', 'F16F 9/58']","['EP 3720725 A1', 'EP 3720725 B1']","Wed, 14 Oct 2020",DE/102017221975,de,"['B60G 11/24', 'B60G 15/06', 'B60G 17/019', 'F16F 1/374', 'F16F 3/093', 'F16F 9/58']",ADDITIONAL SPRING FOR A SHOCK ABSORBER OF A MOTOR VEHICLE AND DAMPER BEARING FOR A SHOCK ABSORBER OF A MOTOR VEHICLE,
EP3503249,EP18213494,64744671,"Tue, 18 Dec 2018",0,,"['H01M 50/262', 'H01M 50/271']","['EP 3503249 A2', 'EP 3503249 A3']","Wed, 10 Jul 2019",DE/102017011892,de,"['H01M 50/262', 'H01M 50/271']",DISPOSITIF ACCUMULATEUR D'ÉNERGIE À CHAPEAU BOULONNÉE,"Energiespeicheranordnung (2), umfassend wenigstens ein Energiespeichermodul (12) und ein Energiespeichergehäuse (3), wobei das Energiespeichermodul (12) wenigstens einen Energiespeicher (19) und das Energiespeichergehäuse (3) einen Gehäuseboden (7), mehrere randseitig an dem Gehäuseboden (7) anschließende Seitenwände (6) und einen Gehäusedeckel (11) sowie wenigstens einen zwischen zwei Seitenwänden (6) angeordneten Träger (8) aufweist, wobei das Energiespeichermodul (12) wenigstens einen sich zwischen der deckelseitigen Seite des Trägers (8) und dem Gehäusedeckel (11) angeordneten Befestigungsabschnitt (15) aufweist, wobei der Befestigungsabschnitt (15) an dem Gehäusedeckel (11) und dem Träger (8) befestigt ist.
"
EP3687858,EP18815176,64650399,"Wed, 05 Dec 2018",1,"Wed, 02 Jun 2021","['B60Q 1/085', 'B60Q 1/381', 'B60Q 1/50']","['EP 3687858 A1', 'EP 3687858 B1']","Wed, 05 Aug 2020",DE/102017223448,de,B60Q 1/38,DISPOSITIF DE PROJECTION DE LUMIÈRE POUR VÉHICULE AUTOMOBILE,
EP3670229,EP18213791,64746018,"Wed, 19 Dec 2018",1,"Wed, 14 Oct 2020",B60K 35/00,"['EP 3670229 A1', 'EP 3670229 B1']","Wed, 24 Jun 2020",,en,B60K 35/00,A DISPLAY DEVICE AND A VEHICLE COMPRISING THE DISPLAY DEVICE,"The invention is concerned with a display device (10) comprising a display panel (11) with a first panel side (13) and a second panel side (14). The display panel (11) is designed to display at least one graphic display object (15), wherein the display panel (11) comprises a first layer (20) which is a pixel matrix and a second layer (21) which comprises a plurality of predetermined primary subareas (19, 19'). The display device (10) comprises a control circuitry which is adapted to enable the displaying of the graphic display object (15) in accordance with a predefined display alignment in one of a first orientation (T1) and a second orientation (T2). The control circuitry is designed to adjust a respective light transmission to a predetermined individual degree for each of the predetermined primary subareas (19, 19') independent of each of the each other in accordance with a physical environment condition.
"
EP3652798,EP18815614,64661341,"Tue, 04 Dec 2018",1,"Wed, 17 Mar 2021","['H01M 8/0254', 'H01M 8/026']","['EP 3652798 A1', 'EP 3652798 B1']","Wed, 20 May 2020",DE/102018200846,de,"['H01M 8/0254', 'H01M 8/026', 'H01M 8/04007']","BRENNSTOFFZELLENPLATTE, BIPOLARPLATTE UND BRENNSTOFFZELLENAUFBAU",
